# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
-1181.3011,1000,2.755218
-1254.577396,1000,4.499978
-1311.942081,1000,6.593357
-1258.963232,1000,8.368018
-1320.102373,1000,10.323061
-1088.266491,1000,12.090865
-1207.9901,1000,14.029921
-884.84829,1000,15.793483
-1043.398504,1000,17.774945
-897.24677,1000,19.52677
-823.108412,1000,21.500544
-1139.281522,1000,23.285358
-702.440297,1000,25.255574
-853.628518,1000,27.043848
-688.080212,1000,29.071776
-809.06993,1000,30.92874
-734.027679,1000,32.936024
-797.839368,1000,34.682655
-711.119731,1000,36.670965
-751.698306,1000,38.403423
-612.279531,1000,40.447433
-574.005842,1000,42.270017
-826.884161,1000,44.297659
-849.862966,1000,46.173403
-600.731885,1000,48.219345
-1225.186299,1000,50.100626
-539.575121,1000,52.146158
-944.591648,1000,54.027387
-786.713697,1000,56.10661
-1077.278766,1000,57.998154
-601.687063,1000,60.025206
-1148.930744,1000,61.925953
-993.629744,1000,64.046762
-800.544388,1000,65.889162
-572.42108,1000,67.932872
-518.383549,1000,69.736724
-624.584064,1000,71.74427
-823.625506,1000,73.599125
-677.760576,1000,75.618996
-469.643486,1000,77.419688
-948.484135,1000,79.483916
-460.725258,1000,81.30356
-461.447914,1000,83.13862
-552.016838,1000,85.142926
-768.003868,1000,86.948008
-511.747389,1000,89.070423
-1036.290264,1000,91.047326
-642.88619,1000,93.082653
-683.9756,1000,94.938444
-896.285943,1000,97.016636
-619.279363,1000,98.845137
-579.511426,1000,100.865275
-364.617338,1000,102.661159
-636.907663,1000,104.696433
-711.795657,1000,106.515741
-638.905375,1000,108.546859
-934.625832,1000,110.441163
-723.77892,1000,112.467925
-587.301863,1000,114.305992
-573.94447,1000,116.375095
-645.780605,1000,118.196382
-461.395524,1000,120.243564
-570.681335,1000,122.091221
-453.642439,1000,124.098871
-662.467278,1000,125.98722
-1326.215359,1000,128.11803
-1200.600929,1000,130.034909
-548.644073,1000,132.079358
-478.666999,1000,133.926652
-405.866866,1000,135.967588
-649.162876,1000,137.771937
-519.01235,1000,139.809457
-1302.287601,1000,141.644569
-339.426105,1000,143.592129
-966.330838,1000,145.472924
-713.682966,1000,147.531124
-311.345187,1000,149.39177
-1173.104263,1000,151.571029
-410.338913,1000,153.418599
-444.570563,1000,155.475696
-664.085476,1000,157.387356
-1210.500834,1000,159.522094
-610.158826,1000,161.368517
-841.400419,1000,163.386781
-301.194268,1000,165.176635
-404.676376,1000,167.033098
-1404.319603,1000,169.133007
-362.595099,1000,170.948421
-1344.663168,1000,173.091867
-1260.938828,1000,175.027608
-476.202692,1000,177.063865
-464.983024,1000,178.857161
-1411.981716,1000,180.96161
-350.919428,1000,182.77905
-523.598998,1000,184.854766
-1424.609833,1000,186.780181
-1527.212289,1000,188.967961
-1302.450383,1000,190.914719
-1181.873139,1000,193.005553
-469.929636,1000,194.845531
-366.201637,1000,196.881147
-372.745869,1000,198.703683
-604.419512,1000,200.818074
-1364.76121,1000,202.757823
-910.439726,1000,204.837469
-417.490211,1000,206.65728
-404.77393,1000,208.64727
-466.713983,1000,210.561146
-1319.78042,1000,212.771736
-1421.411762,1000,214.751433
-455.188134,1000,216.816338
-1302.226086,1000,218.757591
-347.093366,1000,220.768893
-1279.711769,1000,222.708787
-361.980217,1000,224.748381
-293.353377,1000,226.562471
-1198.375531,1000,228.671823
-1448.217124,1000,230.610738
-355.670239,1000,232.616339
-1414.64505,1000,234.564637
-427.81249,1000,236.637281
-386.414797,1000,238.456183
-390.378707,1000,240.525863
-391.80057,1000,242.378818
-434.297352,1000,244.408497
-1427.511781,1000,246.36954
-1442.39596,1000,248.506496
-343.234017,1000,250.361626
-302.98407,1000,252.235862
-1414.0913,1000,254.350574
-1333.815827,1000,256.285679
-1478.958408,1000,258.431007
-1428.824364,1000,260.340603
-297.36522,1000,262.387831
-304.021623,1000,264.197551
-327.766562,1000,266.228022
-333.057996,1000,268.042668
-1452.635596,1000,270.271529
-541.635515,1000,272.188559
-1366.462776,1000,274.323615
-484.598946,1000,276.175864
-1493.048976,1000,278.311012
-467.043349,1000,280.213873
-1449.823708,1000,282.37275
-1347.427753,1000,284.295439
-1497.89082,1000,286.438616
-372.31463,1000,288.265857
-352.395568,1000,290.335769
-391.923,1000,292.179891
-391.011881,1000,294.19289
-331.385727,1000,296.058418
