eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,-1217.939248,524,0.0025132955,0.024658203,8.515696,-0.008455295,232.03548,-0.0019109249114990234,1,2048,3.9064535929992417,2048
1000.0,-972.9465155999999,539,0.0037454192,0.03881836,8.487601,-0.003050686,79.26637,0.01426553726196289,10,20480,38.51523834599902,20480
1000.0,-868.1812606999999,517,0.0034526067,0.02758789,8.464,-0.0011730897,82.002205,0.14427417516708374,20,40960,78.4558838110006,40960
1000.0,-798.4518416229507,515,0.0063534603,0.087768555,8.448833,-0.003763496,44.60758,0.06650406122207642,30,61440,118.26459919599984,61440
1000.0,-769.2233367777778,496,0.0050409464,0.061157227,8.42346,-0.001255254,112.25002,0.1328282356262207,40,81920,158.41115641500073,81920
1000.0,-774.8436784800002,516,0.007422803,0.10632324,8.410203,-0.0055127875,21.334358,0.12022501230239868,50,102400,198.71326412800045,102400
1000.0,-754.5550959300001,513,0.0038732018,0.032104492,8.4003935,-0.000577939,24.501268,0.13487887382507324,60,122880,239.3534785259999,122880
1000.0,-769.58746458,494,0.0036400147,0.032958984,8.391124,-0.0014652939,125.76713,0.3604087829589844,70,143360,280.1724569929993,143360
1000.0,-795.62966502,508,0.0024643717,0.014282227,8.381101,-0.00029761193,100.5579,0.43799442052841187,80,163840,320.65016217300035,163840
1000.0,-784.40882068,506,0.0031442274,0.024780273,8.369335,0.0002717475,71.16172,0.5214653015136719,90,184320,360.9197672650007,184320
1000.0,-725.9999001299999,517,0.003089178,0.028320312,8.359948,-0.0018500036,19.745829,0.24604570865631104,100,204800,400.8542034359998,204800
1000.0,-663.4371397900001,517,0.005101,0.05834961,8.341912,-0.000771448,21.409533,0.52325040102005,110,225280,440.748637187,225280
1000.0,-591.57072309,500,0.006293487,0.083496094,8.337064,-0.0018706894,34.25718,0.5433399081230164,120,245760,481.1002034819994,245760
1000.0,-495.2726759,512,0.0065629166,0.08959961,8.323467,-0.0042832196,17.605438,0.20535367727279663,130,266240,521.0773609150001,266240
1000.0,-411.3534758,519,0.0023320667,0.013183594,8.315667,-0.0010185482,14.518704,0.4704558849334717,140,286720,561.1752086359993,286720
1000.0,-311.34085522999993,516,0.002918984,0.026733398,8.3030405,-0.0010758389,33.793987,-0.24893593788146973,150,307200,601.0031602599993,307200
1000.0,-190.93005501999997,510,0.0034048166,0.03112793,8.264291,-0.0008166142,33.649933,0.48206251859664917,160,327680,640.9063168850007,327680
1000.0,-38.49230551,512,0.004207547,0.048461914,8.234962,0.00049849704,19.20454,0.20662569999694824,170,348160,680.6759014649997,348160
1000.0,101.14415102000001,509,0.009900708,0.13928223,8.141108,0.0043888143,22.05608,0.13917171955108643,180,368640,720.4764039149995,368640
1000.0,203.01127653999993,513,0.011448275,0.16918945,8.098747,-6.253482e-05,18.313889,0.32711315155029297,190,389120,760.3114620739998,389120
1000.0,278.21611785,503,0.0074550454,0.10144043,8.073603,0.0017241645,11.178078,0.5966894328594208,200,409600,800.1910725119997,409600
1000.0,339.61495489999993,505,0.0071865935,0.100097656,8.07863,2.7111266e-05,8.30628,0.45845168828964233,210,430080,840.9723303760002,430080
1000.0,373.31823687,505,0.007814537,0.10961914,8.0839815,-0.0015284412,6.894464,0.5675772428512573,220,450560,881.4698995069994,450560
1000.0,386.76186826,509,0.009663912,0.14367676,8.074081,-0.0026008175,6.1668663,0.4397302269935608,230,471040,921.9027961810007,471040
1000.0,386.58831178,510,0.0061373776,0.07775879,8.062051,-0.0015667175,5.668744,0.5712931752204895,240,491520,962.4312817089994,491520
1000.0,387.05305006000003,512,0.0064188316,0.079956055,8.047878,-0.0013439287,7.442122,0.31877171993255615,250,512000,1002.98743388,512000
1000.0,384.59329214999997,499,0.008142598,0.12219238,8.039642,-0.001123876,5.382498,0.3718597888946533,260,532480,1043.4255442609992,532480
1000.0,384.14220503999996,505,0.010700296,0.15161133,8.031244,0.0016598759,5.327965,0.36557304859161377,270,552960,1083.7586647089993,552960
1000.0,385.11266698,504,0.008593109,0.122924805,8.028369,-0.0003743561,5.0194483,0.4977419972419739,280,573440,1124.4350612639992,573440
1000.0,384.37045358999995,505,0.005734526,0.06982422,8.035307,-0.000983547,5.4782133,0.5085839927196503,290,593920,1164.853074868999,593920
1000.0,383.80289065,500,0.009886897,0.14428711,8.038763,-0.00043871457,5.697213,0.5359396040439606,300,614400,1205.508206331,614400
1000.0,386.01546362,502,0.031479422,0.32702637,8.047244,-0.00080977887,5.9033694,0.17746776342391968,310,634880,1246.0317579530001,634880
1000.0,386.9262356699999,505,0.017448163,0.25378418,8.090166,-0.0026105384,6.0368557,0.5063097178936005,320,655360,1286.3922351750007,655360
1000.0,369.9812396699999,501,0.005306121,0.06323242,8.0907955,0.0008525277,6.1561337,0.5464800596237183,330,675840,1327.108226082999,675840
1000.0,370.13118308000014,505,0.009807478,0.14624023,8.079507,-0.0007687279,9.074772,0.37730127573013306,340,696320,1367.5342610610005,696320
1000.0,377.46880274,503,0.008949533,0.12463379,8.072063,-0.0019459648,7.2543693,0.165496826171875,350,716800,1407.9375597580001,716800
1000.0,387.4125951500001,500,0.010420913,0.13903809,8.059959,-0.0025885238,8.409775,-0.031445860862731934,360,737280,1448.5510328250002,737280
1000.0,397.56339533,505,0.0090192,0.12109375,8.060146,0.00013038359,8.17983,0.303100049495697,370,757760,1489.1303143080004,757760
1000.0,387.656545,504,0.02882874,0.32092285,8.0636425,0.0038345251,7.4888544,0.28851765394210815,380,778240,1529.4788375629996,778240
1000.0,415.68727418,503,0.0115552405,0.17993164,8.085979,-0.00076860224,7.538949,0.022519230842590332,390,798720,1570.0133299289992,798720
1000.0,417.12558986000005,507,0.009449822,0.13208008,8.113637,-0.0001242396,7.911804,0.49754589796066284,400,819200,1610.275431729,819200
1000.0,414.83902091,501,0.00676704,0.08508301,8.116448,0.003275494,8.558752,0.5412580966949463,410,839680,1650.5725519049993,839680
1000.0,415.8411260999999,500,0.009387852,0.13061523,8.128152,0.0011504627,8.592789,0.19140625,420,860160,1691.0671142680003,860160
1000.0,455.24201448,502,0.020998718,0.26782227,8.12004,-0.0012723848,7.467158,0.07259261608123779,430,880640,1731.4861491440006,880640
1000.0,455.1209905799999,508,0.014139401,0.21020508,8.134753,-0.0031650313,8.000759,0.15033066272735596,440,901120,1771.491177541,901120
